title,author,genre_id,genre_two_id,quantity,synopsis
O Alquimista,Paulo Coelho,4,32,10,"A jornada de um pastor em busca de um tesouro o leva a uma profunda jornada de autodescoberta."
Dom Casmurro,Machado de Assis,4,23,5,"O relato de Bento Santiago sobre seu ciúme e a suspeita de traição da esposa Capitu."
Vidas Secas,Graciliano Ramos,4,4,7,"A luta e a miséria de uma família de retirantes nordestinos, destacando a seca e a brutalidade da vida."
Cem Anos de Solidão,Gabriel García Márquez,2,4,12,"A saga da família Buendía ao longo de sete gerações na mítica cidade de Macondo."
O Senhor dos Anéis: A Sociedade do Anel,J.R.R. Tolkien,32,32,15,"Um hobbit herda um anel mágico e embarca em uma perigosa missão para destruí-lo e salvar a Terra Média."
Orgulho e Preconceito,Jane Austen,23,3,8,"A história da sagaz Elizabeth Bennet e do orgulhoso Mr. Darcy em meio às convenções sociais da Inglaterra do século XIX."
1984,George Orwell,21,32,18,"Em um futuro totalitário, Winston Smith tenta manter sua individualidade e sanidade sob a vigilância constante do Grande Irmão."
Crime e Castigo,Fiódor Dostoiévski,3,15,6,"Um ex-estudante pobre comete um assassinato em São Petersburgo e lida com o tormento moral e psicológico."
O Código Da Vinci,Dan Brown,30,31,20,"O simbologista Robert Langdon se envolve em uma caçada para desvendar um enigma com segredos históricos."
Harry Potter e a Pedra Filosofal,J.K. Rowling,32,28,25,"Um órfão descobre que é um bruxo e é convidado para estudar na Escola de Magia e Bruxaria de Hogwarts."
A Menina que Roubava Livros,Markus Zusak,1,4,14,"Narrada pela Morte, conta a história de Liesel Meminger durante a Segunda Guerra Mundial na Alemanha."
Admirável Mundo Novo,Aldous Huxley,21,32,11,"Uma sociedade futurista que alcançou a estabilidade através da manipulação genética e condicionamento."
Ensaio sobre a Cegueira,José Saramago,4,21,9,"Uma epidemia de cegueira branca atinge uma cidade, expondo a natureza humana em sua forma mais crua."
Assassinato no Expresso do Oriente,Agatha Christie,30,31,13,"O detetive Hercule Poirot investiga um assassinato a bordo de um trem de luxo parado pela neve."
A Cor Púrpura,Alice Walker,4,1,4,"A história de Celie, uma mulher afro-americana no sul dos Estados Unidos no início do século XX, e sua luta por independência."
Sapiens: Uma Breve História da Humanidade,Yuval Noah Harari,14,38,16,"Uma análise da história da humanidade, desde o surgimento do Homo Sapiens até o presente."
Extraordinário,R. J. Palacio,28,4,19,"Auggie Pullman, um menino com deformidade facial, enfrenta o desafio de frequentar uma escola regular."
Um Estudo em Vermelho,Arthur Conan Doyle,30,31,10,"A primeira aparição do famoso detetive Sherlock Holmes e seu parceiro, Dr. John Watson."
A Arte da Guerra,Sun Tzu,14,15,8,"Um tratado militar chinês milenar sobre estratégia e táticas de guerra."
As Crônicas de Nárnia: O Leão a Feiticeira e o Guarda-Roupa,C.S. Lewis,32,28,17,"Quatro irmãos descobrem o mundo mágico de Nárnia através de um guarda-roupa."
O Nome do Vento,Patrick Rothfuss,32,32,12,"O primeiro livro da história de Kvothe, um herói lendário em um mundo de magia e mistérios."
É Assim que Acaba,Colleen Hoover,23,4,22,"A complexa história de Lily e sua tentativa de quebrar o ciclo de violência em sua família."
O Retrato de Dorian Gray,Oscar Wilde,3,45,7,"Um jovem vende sua alma para manter sua beleza, enquanto seu retrato envelhece e registra sua degradação moral."
A Revolução dos Bichos,George Orwell,47,34,15,"Animais de uma fazenda se rebelam contra seus donos humanos, em uma alegoria sobre a Revolução Russa."
Capitães da Areia,Jorge Amado,4,23,6,"A vida de um grupo de meninos de rua na cidade de Salvador, Bahia."
Fogo & Sangue,George R.R. Martin,32,32,11,"Um livro de história fictícia que narra a saga da Casa Targaryen em Westeros."
Torto Arado,Itamar Vieira Junior,4,4,9,"A história de duas irmãs, Bibiana e Belonísia, e sua vida de trabalho escravo em uma fazenda no sertão da Bahia."
A Hospedeira,Stephenie Meyer,32,23,10,"Em um futuro onde alienígenas invadiram a Terra, uma alma invasora se recusa a apagar as memórias de sua hospedeira humana."
Garota Exemplar,Gillian Flynn,31,30,13,"O desaparecimento de Amy Dunne no seu quinto aniversário de casamento e o marido como principal suspeito."
Frankenstein,Mary Shelley,3,32,5,"A história do cientista Victor Frankenstein e sua criatura, levantando questões éticas sobre a ciência e a vida."
