comment,rating
"Leitura eletrizante, o final me surpreendeu!",5
"Achei um pouco lento no início, mas o drama é profundo.",3
"Crônicas divertidas e muito pertinentes ao nosso caos.",4
"Perfeito para ler em uma tarde descontraída, muitas risadas.",5
"Aborda um tema importante com muita sensibilidade. Recomendo.",4
"Excelente romance histórico! A pesquisa do autor é impressionante.",5
"Fantasia épica! A mitologia brasileira brilha nesta obra.",5
"Um olhar duro, mas necessário sobre a realidade da favela.",4
"A aventura é linda, mas o ritmo me cansou um pouco.",3
"Coração de Pedra e Barro é um título muito apropriado. Visceral!",5
"Um livro maluco, como o título sugere. Bom para passar o tempo.",3
"Minha filha amou a investigação. Ótimo infanto-juvenil.",4
"História clássica, mas a edição poderia ser melhor.",1
"Um thriller policial de prender a respiração até o final.",5
"A forma em cordel é genial, valorizando a cultura nordestina.",5
"Aventura infantil com folclore muito bem trabalhado!",4
"Um épico! A complexidade dos personagens é o ponto alto.",3
"Clássico delicioso de reler. Butller nunca decepciona.",4
"A sinopse não faz justiça. Contos com um toque surreal incrível.",5
"Sátira social cruel, mas muito inteligente sobre o futuro.",2
"Ideia criativa, mas o romance não me convenceu muito.",3
"Sombrio e tenso. O mistério na Bahia é de arrepiar.",5
"Um bom livro de fantasia para o público jovem.",4
"Diário forte sobre o feminismo, muito importante historicamente.",5
"Simplesmente genial! Ri muito com os sla",2
